,name,count,phonetics,meta1,soundex
2409,Ariauna,10,ARAN,ARN,A650
2410,Ariba,6,ARAB,ARP,A610
2411,Aribella,184,ARABAL,ARPL,A614
2412,Aric,4134,ARAC,ARK,A620
2413,Arica,692,ARAC,ARK,A620
2414,Arick,39,ARAC,ARK,A620
2415,Ariday,13,ARADY,ART,A630
2416,Arie,750,ARY,AR,A600
2417,Arieal,5,ARAL,ARL,A640
2418,Arieana,94,ARAN,ARN,A650
2419,Arieanna,315,ARAN,ARN,A650
2420,Ariel,75928,ARAL,ARL,A640
2421,Ariela,1242,ARAL,ARL,A640
2422,Ariele,30,ARAL,ARL,A640
2423,Arielis,15,ARAL,ARLS,A642
2424,Ariell,78,ARAL,ARL,A640
2425,Ariella,6179,ARAL,ARL,A640
2426,Arielle,20484,ARAL,ARL,A640
2427,Ariely,16,ARALY,ARL,A640
2428,Arielys,29,ARALY,ARLS,A642
2429,Arien,10,ARAN,ARN,A650
2430,Arienne,7,ARAN,ARN,A650
2431,Arieona,10,ARAN,ARN,A650
2432,Arieonna,11,ARAN,ARN,A650
2433,Aries,1245,ARY,ARS,A620
2434,Arietta,24,ARAT,ART,A630
2435,Arif,97,ARAF,ARF,A610
2436,Arihaan,10,ARAN,ARHN,A650
2437,Arihana,5,ARAN,ARHN,A650
2438,Arihanna,197,ARAN,ARHN,A650
2439,Arihant,5,ARAD,ARHN,A653
2440,Arik,570,ARAC,ARK,A620
2441,Arika,543,ARAC,ARK,A620
2442,Arikka,5,ARAC,ARK,A620
2443,Arilene,5,ARALAN,ARLN,A645
2444,Arilyn,13,ARALAN,ARLN,A645
2445,Arilynn,16,ARALAN,ARLN,A645
2446,Arin,822,ARAN,ARN,A650
2447,Arina,168,ARAN,ARN,A650
2448,Arinze,5,ARANS,ARNS,A652
2449,Arion,475,ARAN,ARN,A650
2450,Ariona,110,ARAN,ARN,A650
2451,Arionna,1036,ARAN,ARN,A650
2452,Aris,618,AR,ARS,A620
2453,Arisa,116,ARAS,ARS,A620
2454,Arisbeth,201,ARASBATH,ARSP,A621
2455,Arish,5,ARAS,ARX,A620
2456,Arisha,127,ARAS,ARX,A620
2457,Arissa,963,ARAS,ARS,A620
2458,Arista,30,ARAST,ARST,A623
2459,Aristea,5,ARAST,ARST,A623
2460,Aristeo,283,ARAST,ARST,A623
2461,Aristide,5,ARASTAD,ARST,A623
2462,Aristides,41,ARASTAD,ARST,A623
2463,Ariston,18,ARASTAN,ARST,A623
2464,Aristotle,77,ARASTATL,ARST,A623
2465,Aritza,33,ARATS,ARTS,A632
2466,Arius,63,AR,ARS,A620
2467,Ariv,5,ARAV,ARF,A610
2468,Ariya,1328,ARY,AR,A600
2469,Ariyah,1854,ARY,AR,A600
2470,Ariyan,53,ARYAN,ARN,A650
2471,Ariyana,1812,ARYAN,ARN,A650
2472,Ariyanah,5,ARYAN,ARN,A650
2473,Ariyanna,1312,ARYAN,ARN,A650
2474,Ariyon,6,ARYAN,ARN,A650
2475,Ariyonna,43,ARYAN,ARN,A650
2476,Ariza,331,ARAS,ARS,A620
2477,Arizbeth,111,ARASBATH,ARSP,A621
2478,Arizona,272,ARASAN,ARSN,A625
2479,Arjan,132,ARJAN,ARJN,A625
2480,Arjay,18,ARJY,ARJ,A620
2481,Arjen,61,ARJAN,ARJN,A625
2482,Arjenis,7,ARJAN,ARJN,A625
2483,Arjeta,5,ARJAT,ARJT,A623
2484,Arjun,5629,ARJAN,ARJN,A625
2485,Arjuna,16,ARJAN,ARJN,A625
2486,Arkeem,24,ARCAN,ARKM,A625
2487,Arkie,6,ARCY,ARK,A620
2488,Arla,501,ARL,ARL,A640
2489,Arlan,737,ARLAN,ARLN,A645
2490,Arlana,5,ARLAN,ARLN,A645
2491,Arland,99,ARLAD,ARLN,A645
2492,Arlayne,5,ARLYN,ARLN,A645
2493,Arlean,218,ARLAN,ARLN,A645
2494,Arlee,39,ARLY,ARL,A640
2495,Arleen,8868,ARLAN,ARLN,A645
2496,Arleene,25,ARLAN,ARLN,A645
2497,Arleigh,10,ARLAGH,ARL,A642
2498,Arlen,2901,ARLAN,ARLN,A645
2499,Arlena,268,ARLAN,ARLN,A645
2500,Arlene,137421,ARLAN,ARLN,A645
2501,Arlenis,5,ARLAN,ARLN,A645
2502,Arlenne,17,ARLAN,ARLN,A645
2503,Arleny,5,ARLANY,ARLN,A645
2504,Arlet,374,ARLAT,ARLT,A643
2505,Arleta,79,ARLAT,ARLT,A643
2506,Arleth,1950,ARLATH,ARL0,A643
2507,Arletha,230,ARLAT,ARL0,A643
2508,Arlett,261,ARLAT,ARLT,A643
2509,Arletta,327,ARLAT,ARLT,A643
2510,Arlette,2427,ARLAT,ARLT,A643
2511,Arley,652,ARLY,ARL,A640
2512,Arlie,3277,ARLY,ARL,A640
2513,Arlin,881,ARLAN,ARLN,A645
2514,Arlina,10,ARLAN,ARLN,A645
2515,Arlind,24,ARLAD,ARLN,A645
2516,Arlinda,193,ARLAND,ARLN,A645
2517,Arline,13584,ARLAN,ARLN,A645
2518,Arlington,218,ARLANGTAN,ARLN,A645
2519,Arlis,548,ARL,ARLS,A642
2520,Arlisa,11,ARLAS,ARLS,A642
2521,Arliss,129,ARL,ARLS,A642
2522,Arliz,6,ARL,ARLS,A642
2523,Arlo,3303,ARL,ARL,A640
2524,Arloa,41,ARL,ARL,A640
2525,Arlon,171,ARLAN,ARLN,A645
2526,Arlos,6,ARL,ARLS,A642
2527,Arly,431,ARLY,ARL,A640
2528,Arlyce,43,ARLAC,ARLK,A642
2529,Arlyle,17,ARLAL,ARLL,A640
2530,Arlyn,1246,ARLAN,ARLN,A645
2531,Arlyne,361,ARLAN,ARLN,A645
2532,Arlynn,26,ARLAN,ARLN,A645
2533,Arlynne,5,ARLAN,ARLN,A645
2534,Arlys,595,ARLY,ARLS,A642
2535,Arlyss,5,ARLY,ARLS,A642
2536,Arma,54,ARN,ARM,A650
2537,Armaan,1605,ARNAN,ARMN,A650
2538,Arman,2051,ARNAN,ARMN,A650
2539,Armand,10888,ARNAD,ARMN,A653
2540,Armanda,56,ARNAND,ARMN,A653
2541,Armandina,604,ARNANDAN,ARMN,A653
2542,Armando,67942,ARNAND,ARMN,A653
2543,Armani,12639,ARNAN,ARMN,A650
2544,Armanii,10,ARNAN,ARMN,A650
2545,Armany,13,ARNANY,ARMN,A650
2546,Armarion,5,ARNARAN,ARMR,A656
2547,Armelia,10,ARNAL,ARML,A654
2548,Armelinda,5,ARNALAND,ARML,A654
2549,Armella,223,ARNAL,ARML,A654
2550,Armen,773,ARNAN,ARMN,A650
2551,Armend,11,ARNAD,ARMN,A653
2552,Armida,2250,ARNAD,ARMT,A653
2553,Armilda,6,ARNALD,ARML,A654
2554,Armin,692,ARNAN,ARMN,A650
2555,Armina,6,ARNAN,ARMN,A650
2556,Arminda,155,ARNAND,ARMN,A653
2557,Armine,69,ARNAN,ARMN,A650
2558,Armistead,7,ARNASTAD,ARMS,A652
2559,Armon,881,ARNAN,ARMN,A650
2560,Armond,837,ARNAD,ARMN,A653
2561,Armondo,295,ARNAND,ARMN,A653
2562,Armoni,646,ARNAN,ARMN,A650
2563,Armonie,62,ARNANY,ARMN,A650
2564,Armonii,5,ARNAN,ARMN,A650
2565,Armstead,20,ARNSTAD,ARMS,A652
2566,Arna,5,ARN,ARN,A650
2567,Arnaldo,1038,ARNALD,ARNL,A654
2568,Arnav,2315,ARNAV,ARNF,A651
2569,Arne,914,ARN,ARN,A650
2570,Arnel,106,ARNAL,ARNL,A654
2571,Arnell,87,ARNAL,ARNL,A654
2572,Arnelle,41,ARNAL,ARNL,A654
2573,Arnetha,15,ARNAT,ARN0,A653
2574,Arnetia,5,ARNAT,ARNX,A653
2575,Arnetra,5,ARNATR,ARNT,A653
2576,Arnett,87,ARNAT,ARNT,A653
2577,Arnetta,656,ARNAT,ARNT,A653
2578,Arnette,33,ARNAT,ARNT,A653
2579,Arnez,20,ARN,ARNS,A652
2580,Arnie,181,ARNY,ARN,A650
2581,Arnisha,5,ARNAS,ARNX,A652
2582,Arnita,312,ARNAT,ARNT,A653
2583,Arno,232,ARN,ARN,A650
2584,Arnold,96684,ARNALD,ARNL,A654
2585,Arnoldo,3469,ARNALD,ARNL,A654
2586,Arnulfo,4802,ARNALF,ARNL,A654
2587,Arohi,13,AR,ARH,A600
2588,Aroldo,15,ARALD,ARLT,A643
2589,Aron,13217,ARAN,ARN,A650
2590,Aroosa,5,ARAS,ARS,A620
2591,Arora,6,ARAR,ARR,A600
2592,Aroush,10,ARAS,ARX,A620
2593,Arpi,52,ARP,ARP,A610
2594,Arpine,10,ARPAN,ARPN,A615
2595,Arpita,6,ARPAT,ARPT,A613
2596,Arquilla,6,ARGAL,ARKL,A624
2597,Arren,5,ARAN,ARN,A650
2598,Arriana,551,ARAN,ARN,A650
2599,Arrianna,381,ARAN,ARN,A650
2600,Arrie,235,ARY,AR,A600
2601,Arriel,10,ARAL,ARL,A640
2602,Arrielle,5,ARAL,ARL,A640
2603,Arrington,6,ARANGTAN,ARNK,A652
2604,Arrion,5,ARAN,ARN,A650
2605,Arron,4345,ARAN,ARN,A650
2606,Arrow,115,AR,AR,A600
2607,Arsalan,12,ARSALAN,ARSL,A624
2608,Arsema,83,ARSAN,ARSM,A625
2609,Arsen,121,ARSAN,ARSN,A625
2610,Arsenio,887,ARSAN,ARSN,A625
2611,Arsh,146,ARS,ARX,A620
2612,Arshan,46,ARSAN,ARXN,A625
2613,Arshdeep,34,ARSDAP,ARXT,A623
2614,Arshia,55,ARS,ARX,A620
2615,Arshiya,5,ARSY,ARX,A620
2616,Arsie,7,ARSY,ARS,A620
2617,Arslan,15,ARSLAN,ARSL,A624
2618,Art,2511,AD,ART,A630
2619,Arta,11,ART,ART,A630
2620,Artan,6,ARTAN,ARTN,A635
2621,Artavia,22,ARTAV,ARTF,A631
2622,Artavious,63,ARTAV,ARTF,A631
2623,Artavis,5,ARTAV,ARTF,A631
2624,Artavius,24,ARTAV,ARTF,A631
2625,Artee,5,ADY,ART,A630
2626,Artelia,32,ARTAL,ARTL,A634
2627,Artem,209,ARTAN,ARTM,A635
2628,Artemio,1339,ARTAN,ARTM,A635
2629,Artemis,137,ARTAN,ARTM,A635
2630,Artemisa,114,ARTANAS,ARTM,A635
2631,Artez,5,ART,ARTS,A632
2632,Artha,15,ART,AR0,A630
2633,Arther,2625,ARTAR,AR0R,A636
2634,Arthor,5,ARTAR,AR0R,A636
2635,Arthur,475790,ARTAR,AR0R,A636
2636,Arthuree,5,ARTARY,AR0R,A636
2637,Arthurine,11,ARTARAN,AR0R,A636
2638,Arthuro,40,ARTAR,AR0R,A636
2639,Arti,5,ART,ART,A630
2640,Artice,5,ARTAC,ARTK,A632
2641,Artie,4007,ADY,ART,A630
2642,Artin,143,ARTAN,ARTN,A635
2643,Artis,2700,ART,ARTS,A632
2644,Artisha,16,ARTAS,ARTX,A632
2645,Artur,167,ARTAR,ARTR,A636
2646,Arturo,49515,ARTAR,ARTR,A636
2647,Artyom,5,ARTAN,ARTM,A635
2648,Arul,5,ARAL,ARL,A640
2649,Arun,310,ARAN,ARN,A650
2650,Aruna,5,ARAN,ARN,A650
2651,Arush,85,ARAS,ARX,A620
2652,Arushi,173,ARAS,ARX,A620
2653,Arva,21,ARV,ARF,A610
2654,Arvel,708,ARVAL,ARFL,A614
2655,Arvella,86,ARVAL,ARFL,A614
2656,Arvid,1176,ARVAD,ARFT,A613
2657,Arvie,37,ARVY,ARF,A610
2658,Arvil,1164,ARVAL,ARFL,A614
2659,Arvilla,834,ARVAL,ARFL,A614
2660,Arville,70,ARVAL,ARFL,A614
2661,Arvin,1288,ARVAN,ARFN,A615
2662,Arvind,66,ARVAD,ARFN,A615
2663,Arvine,5,ARVAN,ARFN,A615
2664,Arvis,41,ARV,ARFS,A612
2665,Arvo,111,ARV,ARF,A610
2666,Arwa,61,ARW,AR,A600
2667,Arwen,678,ARWAN,ARN,A650
2668,Arwyn,12,ARWAN,ARN,A650
2669,Ary,16,ARY,AR,A600
2670,Arya,7334,AR,AR,A600
2671,Aryah,178,AR,AR,A600
2672,Aryam,55,ARAN,ARM,A650
2673,Aryaman,16,ARANAN,ARMN,A650
2674,Aryan,4205,ARAN,ARN,A650
2675,Aryana,4553,ARAN,ARN,A650
2676,Aryanah,6,ARAN,ARN,A650
2677,Aryanna,6457,ARAN,ARN,A650
2678,Aryannah,16,ARAN,ARN,A650
2679,Aryav,5,ARAV,ARF,A610
2680,Arye,161,ARY,AR,A600
2681,Aryeh,1522,AR,AR,A600
2682,Aryel,26,ARAL,ARL,A640
2683,Aryelle,10,ARAL,ARL,A640
2684,Aryia,5,AR,AR,A600
2685,Aryiah,11,AR,AR,A600
2686,Aryn,674,ARAN,ARN,A650
2687,Arynn,5,ARAN,ARN,A650
2688,Aryona,5,ARAN,ARN,A650
2689,Aryonna,26,ARAN,ARN,A650
2690,Aryssa,142,ARAS,ARS,A620
2691,Asa,8841,AS,AS,A200
2692,Asaad,46,ASAD,AST,A230
2693,Asad,430,ASAD,AST,A230
2694,Asadbek,12,ASADBAC,ASTP,A231
2695,Asae,10,AS,AS,A200
2696,Asael,555,ASAL,ASL,A240
2697,Asaf,25,ASAF,ASF,A210
2698,Asahel,17,ASAL,ASHL,A240
2699,Asahi,5,AS,ASH,A200
2700,Asaiah,55,AS,AS,A200
2701,Asako,144,ASAC,ASK,A200
2702,Asalee,5,ASALY,ASL,A240
2703,Asani,65,ASAN,ASN,A250
2704,Asante,185,ASANT,ASNT,A253
2705,Asao,5,AS,AS,A200
2706,Asayo,29,ASY,AS,A200
2707,Asberry,6,ASBARY,ASPR,A216
2708,Asbury,39,ASBARY,ASPR,A216
2709,Ascencion,287,ASCANCAN,ASKN,A252
2710,Ascension,16,ASCANSAN,ASKN,A252
2711,Ascher,11,ASAR,AXR,A260
2712,Aseel,80,ASAL,ASL,A240
2713,Asenath,48,ASANATH,ASN0,A253
2714,Asencion,235,ASANCAN,ASNK,A252
2715,Asenet,6,ASANAT,ASNT,A253
2716,Aseneth,7,ASANATH,ASN0,A253
2717,Ash,167,AS,AX,A200
2718,Asha,5280,AS,AX,A200
2719,Ashaki,17,ASAC,AXK,A200
2720,Ashanta,57,ASANT,AXNT,A253
2721,Ashante,491,ASANT,AXNT,A253
2722,Ashantee,11,ASADY,AXNT,A253
2723,Ashanti,9806,ASANT,AXNT,A253
2724,Ashanty,187,ASANTY,AXNT,A253
2725,Ashar,35,ASAR,AXR,A260
2726,Ashari,116,ASAR,AXR,A260
2727,Asharia,21,ASAR,AXR,A260
2728,Ashaunti,34,ASANT,AXNT,A253
2729,Ashaz,11,AS,AXS,A200
2730,Ashby,458,ASBY,AXP,A210
2731,Asheley,90,ASALY,AXL,A240
2732,Ashely,4840,ASALY,AXL,A240
2733,Asher,35505,ASAR,AXR,A260
2734,Ashford,5,ASFAD,AXFR,A216
2735,Ashia,733,AS,AX,A200
2736,Ashika,11,ASAC,AXK,A200
2737,Ashira,39,ASAR,AXR,A260
2738,Ashish,139,ASAS,AXX,A200
2739,Ashiya,27,ASY,AX,A200
2740,Ashiyah,5,ASY,AX,A200
2741,Ashkan,53,ASCAN,AXKN,A250
2742,Ashkon,6,ASCAN,AXKN,A250
2743,Ashlan,151,ASLAN,AXLN,A245
2744,Ashland,20,ASLAD,AXLN,A245
2745,Ashle,59,ASL,AXL,A240
2746,Ashlea,1540,ASL,AXL,A240
2747,Ashlee,41604,ASLY,AXL,A240
2748,Ashleen,160,ASLAN,AXLN,A245
2749,Ashlei,659,ASL,AXL,A240
2750,Ashleigh,29783,ASLAGH,AXL,A242
2751,Ashlen,116,ASLAN,AXLN,A245
2752,Ashley,848481,ASLY,AXL,A240
2753,Ashleyann,33,ASLYAN,AXLN,A245
2754,Ashleymarie,57,ASLYNARY,AXLM,A245
2755,Ashleynicole,49,ASLYNACAL,AXLN,A245
2756,Ashli,3720,ASL,AXL,A240
2757,Ashlie,7841,ASLY,AXL,A240
2758,Ashliegh,47,ASLAGH,AXL,A242
2759,Ashlin,898,ASLAN,AXLN,A245
2760,Ashling,11,ASLANG,AXLN,A245
2761,Ashlon,5,ASLAN,AXLN,A245
2762,Ashly,8916,ASLY,AXL,A240
2763,Ashlye,10,ASLY,AXL,A240
2764,Ashlyn,42254,ASLAN,AXLN,A245
2765,Ashlyne,5,ASLAN,AXLN,A245
2766,Ashlynn,20301,ASLAN,AXLN,A245
2767,Ashlynne,302,ASLAN,AXLN,A245
2768,Ashmit,5,ASNAT,AXMT,A253
2769,Ashmita,5,ASNAT,AXMT,A253
2770,Ashna,178,ASN,AXN,A250
2771,Ashneel,5,ASNAL,AXNL,A254
2772,Ashonti,12,ASANT,AXNT,A253
2773,Ashot,11,ASAT,AXT,A230
2774,Ashraf,102,ASRAF,AXRF,A261
2775,Ashrith,6,ASRATH,AXR0,A263
2776,Ashten,394,ASTAN,AXTN,A235
2777,Ashtin,458,ASTAN,AXTN,A235
2778,Ashton,76802,ASTAN,AXTN,A235
2779,Ashtyn,3886,ASTAN,AXTN,A235
2780,Ashunti,65,ASANT,AXNT,A253
2781,Ashur,5,ASAR,AXR,A260
2782,Ashvin,12,ASVAN,AXFN,A215
2783,Ashwath,10,ASWATH,AX0,A230
2784,Ashwika,5,ASWAC,AXK,A200
2785,Ashwin,765,ASWAN,AXN,A250
2786,Ashya,5,AS,AX,A200
2787,Asia,29114,AS,AS,A200
2788,Asiah,426,AS,AS,A200
2789,Asiana,12,ASAN,ASN,A250
2790,Asianae,5,ASAN,ASN,A250
2791,Asianna,5,ASAN,ASN,A250
2792,Asiel,80,ASAL,ASL,A240
2793,Asif,116,ASAF,ASF,A210
2794,Asim,136,ASAN,ASM,A250
2795,Asir,12,ASAR,ASR,A260
2796,Asiya,459,ASY,AS,A200
2797,Asiyah,333,ASY,AS,A200
2798,Askari,47,ASCAR,ASKR,A260
2799,Aslan,52,ASLAN,ASLN,A245
2800,Aslean,5,ASLAN,ASLN,A245
2801,Aslee,8,ASLY,ASL,A240
2802,Asley,129,ASLY,ASL,A240
2803,Aslyn,5,ASLAN,ASLN,A245
2804,Aslynn,5,ASLAN,ASLN,A245
2805,Asma,711,ASN,ASM,A250
2806,Asmaa,103,ASN,ASM,A250
2807,Asmar,39,ASNAR,ASMR,A256
2808,Asmi,5,ASN,ASM,A250
2809,Aspasia,5,ASPAS,ASPS,A212
2810,Aspen,10977,ASPAN,ASPN,A215
2811,Aspyn,466,ASPAN,ASPN,A215
2812,Assa,5,AS,AS,A200
2813,Assael,15,ASAL,ASL,A240
2814,Assata,68,ASAT,AST,A230
2815,Asser,7,ASAR,ASR,A260
2816,Assunta,708,ASANT,ASNT,A253
2817,Aster,15,ASTAR,ASTR,A236
2818,Astha,5,AST,AS0,A230
2819,Astin,31,ASTAN,ASTN,A235
2820,Aston,696,ASTAN,ASTN,A235
2821,Astor,27,ASTAR,ASTR,A236
2822,Astrid,4834,ASTRAD,ASTR,A236
2823,Asucena,150,ASACAN,ASKN,A250
2824,Asuka,5,ASAC,ASK,A200
2825,Asuncion,10,ASANCAN,ASNK,A252
2826,Asusena,306,ASASAN,ASSN,A250
2827,Asuzena,27,ASASAN,ASSN,A250
2828,Aswad,5,ASWAD,AST,A230
2829,Aswell,5,ASWAL,ASL,A240
2830,Asya,511,AS,AS,A200
2831,Atalia,34,ATAL,ATL,A340
2832,Atalie,44,ATALY,ATL,A340
2833,Atanacio,90,ATANAC,ATNK,A352
2834,Atara,370,ATAR,ATR,A360
2835,Atarah,5,ATAR,ATR,A360
2836,Atenas,11,ATAN,ATNS,A352
2837,Atha,157,AT,A0,A300
2838,Athalia,61,ATAL,A0L,A340
2839,Athan,557,ATAN,A0N,A350
2840,Athanasia,38,ATANAS,A0NS,A352
2841,Athanasios,258,ATANAS,A0NS,A352
2842,Atharv,250,ATARV,A0RF,A361
2843,Atharva,190,ATARV,A0RF,A361
2844,Atheena,5,ATAN,A0N,A350
2845,Athel,5,ATAL,A0L,A340
2846,Athelene,5,ATALAN,A0LN,A345
2847,Athen,103,ATAN,A0N,A350
2848,Athena,22663,ATAN,A0N,A350
2849,Athina,99,ATAN,A0N,A350
2850,Athony,6,ATANY,A0N,A350
2851,Athos,5,AT,A0S,A320
2852,Athyna,6,ATHAN,A0N,A350
2853,Athziri,153,ATHSAR,A0SR,A326
2854,Athziry,108,ATHSARY,A0SR,A326
2855,Atiana,152,ATAN,AXN,A350
2856,Atianna,43,ATAN,AXN,A350
2857,Atiba,96,ATAB,ATP,A310
2858,Atif,10,ATAF,ATF,A310
2859,Atiksh,6,ATACS,ATKX,A320
2860,Atilano,23,ATALAN,ATLN,A345
2861,Atira,10,ATAR,ATR,A360
2862,Atiya,509,ATY,AT,A300
2863,Atlanta,17,ATLANT,ATLN,A345
2864,Atlantis,5,ATLANT,ATLN,A345
2865,Atlas,1481,ATL,ATLS,A342
2866,Atlee,192,ATLY,ATL,A340
2867,Atleigh,5,ATLAGH,ATL,A342
2868,Atley,51,ATLY,ATL,A340
2869,Ato,6,AT,AT,A300
2870,Atom,140,ATAN,ATM,A350
2871,Atreyu,594,ATRY,ATR,A360
2872,Atsushi,8,ATSAS,ATSX,A320
2873,Atthew,5,ATAW,A0,A300
2874,Atticus,5811,ATAC,ATKS,A320
2875,Attila,48,ATAL,ATL,A340
2876,Attilio,425,ATAL,ATL,A340
2877,Atul,8,ATAL,ATL,A340
2878,Atwell,15,ATWAL,ATL,A340
2879,Atzel,12,ATSAL,ATSL,A324
2880,Atzi,5,ATS,ATS,A320
2881,Atzin,6,ATSAN,ATSN,A325
2882,Atziri,195,ATSAR,ATSR,A326
2883,Atziry,149,ATSARY,ATSR,A326
2884,Aubert,6,ABAD,APRT,A163
2885,Aubra,15,ABR,APR,A160
2886,Aubre,15,ABR,APR,A160
2887,Aubrea,10,ABR,APR,A160
2888,Aubreanna,10,ABRAN,APRN,A165
2889,Aubree,28986,ABRY,APR,A160
2890,Aubrei,53,ABR,APR,A160
2891,Aubreigh,263,ABRAGH,APR,A162
2892,Aubrey,116214,ABRY,APR,A160
2893,Aubreyana,21,ABRYAN,APRN,A165
2894,Aubri,2035,ABR,APR,A160
2895,Aubriana,1521,ABRAN,APRN,A165
2896,Aubrianna,2255,ABRAN,APRN,A165
2897,Aubrie,9639,ABRY,APR,A160
2898,Aubriee,31,ABRY,APR,A160
2899,Aubriel,6,ABRAL,APRL,A164
2900,Aubriella,963,ABRAL,APRL,A164
2901,Aubrielle,1530,ABRAL,APRL,A164
2902,Aubrii,23,ABR,APR,A160
2903,Aubry,1297,ABRY,APR,A160
2904,Aubryana,12,ABRAN,APRN,A165
2905,Aubryanna,11,ABRAN,APRN,A165
2906,Aubryn,12,ABRAN,APRN,A165
2907,Auburn,182,ABARN,APRN,A165
2908,Auda,5,AD,AT,A300
2909,Audel,46,ADAL,ATL,A340
2910,Audelia,400,ADAL,ATL,A340
2911,Audell,6,ADAL,ATL,A340
2912,Auden,307,ADAN,ATN,A350
2913,Audery,10,ADARY,ATR,A360
2914,Audi,5,AD,AT,A300
2915,Audie,2140,ADY,AT,A300
2916,Audine,5,ADAN,ATN,A350
2917,Audley,27,ADLY,ATL,A340
2918,Audon,10,ADAN,ATN,A350
2919,Audra,19934,ADR,ATR,A360
2920,Audre,5,ADR,ATR,A360
2921,Audrea,263,ADR,ATR,A360
2922,Audreana,5,ADRAN,ATRN,A365
2923,Audreanna,48,ADRAN,ATRN,A365
2924,Audree,988,ADRY,ATR,A360
2925,Audreena,15,ADRAN,ATRN,A365
2926,Audrena,5,ADRAN,ATRN,A365
2927,Audrey,261845,ADRY,ATR,A360
2928,Audreyana,6,ADRYAN,ATRN,A365
2929,Audreyanna,10,ADRYAN,ATRN,A365
2930,Audri,207,ADR,ATR,A360
2931,Audria,37,ADR,ATR,A360
2932,Audriana,2523,ADRAN,ATRN,A365
2933,Audrianna,2420,ADRAN,ATRN,A365
2934,Audric,27,ADRAC,ATRK,A362
2935,Audrie,1036,ADRY,ATR,A360
2936,Audrina,6123,ADRAN,ATRN,A365
2937,Audrinna,61,ADRAN,ATRN,A365
2938,Audris,13,ADR,ATRS,A362
2939,Audry,954,ADRY,ATR,A360
2940,Audryana,5,ADRAN,ATRN,A365
2941,Audryna,53,ADRAN,ATRN,A365
2942,Audwin,5,ADWAN,ATN,A350
2943,Audy,6,ADY,AT,A300
2944,Augie,63,AGY,AJ,A200
2945,August,30599,AGAST,AKST,A230
2946,Augusta,5622,AGAST,AKST,A230
2947,Augustas,5,AGAST,AKST,A232
2948,Auguste,5,AGAST,AKST,A230
2949,Augusten,6,AGASTAN,AKST,A235
2950,Augustin,1708,AGASTAN,AKST,A235
2951,Augustina,601,AGASTAN,AKST,A235
2952,Augustine,9165,AGASTAN,AKST,A235
2953,Augustino,21,AGASTAN,AKST,A235
2954,Augusto,438,AGAST,AKST,A230
2955,Augustus,8636,AGAST,AKST,A232
2956,Aujanae,12,AJAN,AJN,A250
2957,Aukai,11,AC,AK,A200
2958,Aulani,137,ALAN,ALN,A450
2959,Aulii,5,AL,AL,A400
2960,Aum,5,AN,AM,A500
2961,Auna,5,AN,AN,A500
2962,Aundra,30,ANDR,ANTR,A536
2963,Aundre,148,ANDR,ANTR,A536
2964,Aundrea,1875,ANDR,ANTR,A536
2965,Aundria,51,ANDR,ANTR,A536
2966,Aune,129,AN,AN,A500
2967,Aungelique,10,ANGALAG,ANJL,A524
2968,Aunika,16,ANAC,ANK,A520
2969,Aunna,15,AN,AN,A500
2970,Aura,846,AR,AR,A600
2971,Aurash,6,ARAS,ARX,A620
2972,Aurea,258,AR,AR,A600
2973,Aurelia,6401,ARAL,ARL,A640
2974,Aureliano,134,ARALAN,ARLN,A645
2975,Aurelie,5,ARALY,ARL,A640
2976,Aurelio,4563,ARAL,ARL,A640
2977,Aurelius,51,ARAL,ARLS,A642
2978,Auri,26,AR,AR,A600
2979,Auria,125,AR,AR,A600
2980,Auriana,53,ARAN,ARN,A650
2981,Aurianna,38,ARAN,ARN,A650
2982,Auriel,38,ARAL,ARL,A640
2983,Auriella,5,ARAL,ARL,A640
2984,Aurielle,46,ARAL,ARL,A640
2985,Aurion,5,ARAN,ARN,A650
2986,Aurohom,5,ARAN,ARHM,A650
2987,Auron,20,ARAN,ARN,A650
2988,Aurora,39571,ARAR,ARR,A600
2989,Aurore,175,ARAR,ARR,A600
2990,Aurther,5,ARTAR,AR0R,A636
2991,Ausencio,29,ASANC,ASNK,A252
2992,Ausitn,7,ASATN,ASTN,A235
2993,Austen,5397,ASTAN,ASTN,A235
2994,Austin,394268,ASTAN,ASTN,A235
2995,Auston,1261,ASTAN,ASTN,A235
2996,Austreberto,5,ASTRABART,ASTR,A236
2997,Austyn,4149,ASTAN,ASTN,A235
2998,Auther,934,ATAR,A0R,A360
2999,Autherine,8,ATARAN,A0RN,A365
3000,Author,759,ATAR,A0R,A360
3001,Authur,458,ATAR,A0R,A360
3002,Autie,5,ATY,AT,A300
3003,Autrey,11,ATRY,ATR,A360
3004,Autry,163,ATRY,ATR,A360
3005,Autum,1094,ATAN,ATM,A350
3006,Autumn,111034,ATAN,ATMN,A350
3007,Autzen,6,ATSAN,ATSN,A325
3008,Ava,213063,AV,AF,A100
3009,Avagrace,10,AVAGRAC,AFKR,A126
3010,Avah,2540,AV,AF,A100
3011,Avalee,147,AVALY,AFL,A140
3012,Avaleigh,77,AVALAGH,AFL,A142
3013,Avalina,31,AVALAN,AFLN,A145
3014,Avaline,15,AVALAN,AFLN,A145
3015,Avalon,1130,AVALAN,AFLN,A145
3016,Avalyn,1013,AVALAN,AFLN,A145
3017,Avalynn,920,AVALAN,AFLN,A145
3018,Avamarie,215,AVANARY,AFMR,A156
3019,Avan,187,AVAN,AFN,A150
